user_id,order_id,channel,order_value,date
9924932134687067068,1472396788,google,40.18,20160828
5594550862521912148,1472415121,(direct),69.19,20160828
554532408320415638,1472421853,(direct),62.48,20160828
7054841030151887299,1472437678,(direct),42.43,20160828
2845423477332965912,1472430398,(direct),191.79,20160828
9562131572678756288,1472397083,google,106.45,20160828
112305056557684257,1472410136,(direct),178.45,20160828
9040954603851979954,1472440394,(direct),55.34,20160828
3687546427507950071,1472436595,google,216.39,20160828
5964418919606294332,1472436023,(direct),223.84,20160828
6820200829240883942,1497713553,(direct),59.99,20170617
543133542685191215,1497752780,(direct),19.95,20170617
8155859003876028076,1497750718,(direct),16.99,20170617
9717690429113938490,1497733039,(direct),3.5,20170617
6616892388883131353,1497745554,(direct),30.39,20170617
8403870234646174771,1497710763,(direct),13.59,20170617
2805355288930230044,1497752264,(direct),44.79,20170617
2376144863648346076,1497764532,(direct),39.41,20170617
4712475837504946789,1497709418,(direct),59.94,20170617
8135224127864726768,1497698178,(direct),39.99,20170617
2584325239090818797,1497745953,(direct),10.99,20170617
5438973470974624883,1497742145,(direct),71.46,20170617
9610282033684440542,1497734009,(direct),24.28,20170617
7697210138804043868,1497725812,(direct),62.43,20170617
1401438949602297317,1497726713,dealspotr.com,71.95,20170617
9801630253390309535,1497766462,(direct),41.81,20170617
3948936105865802619,1497737383,(direct),1271.19,20170617
9226278380512438191,1497707352,(direct),27.93,20170617
0909158646354924303,1488873448,(direct),61.59,20170307
49628940161747998,1488896284,(direct),11.96,20170307
8130967170149576800,1488897288,(direct),149.75,20170307
6944288019130180719,1488896376,(direct),79.19,20170307
3072906415117777345,1488920916,(direct),41.99,20170307
8277648855078565042,1488919872,google,21.99,20170307
4284278279892078822,1488903317,google,34.99,20170307
7048168030891512460,1488900033,(direct),219.75,20170307
7691884507775578651,1488914056,google,18.98,20170307
4571278149582877432,1488948453,youtube.com,18.99,20170307
818059420778807531,1488909054,google,24.99,20170307
0654327480845915716,1488948912,google,70.96,20170307
3775157044065915076,1488933911,(direct),141.42,20170307
1310018827141694305,1488917154,(direct),371.7,20170307
6944288019130180719,1488901743,(direct),3.99,20170307
5342287440571105823,1488921995,(direct),61.59,20170307
0536651165928149969,1488899122,google,29.98,20170307
0898161291686965750,1488920028,(direct),339.75,20170307
9979550771372989715,1488922829,google,21.99,20170307
4471415710206918415,1488955282,(direct),1148.5,20170307
5103352081821571927,1488939871,(direct),35.17,20170307
8981840546214249498,1488901668,google,81.54,20170307
5709093382250533707,1488905319,google,83.85,20170307
7234178212893913418,1488902503,google,63.04,20170307
114291970451691046,1488929016,(direct),28.6,20170307
9702922854313747953,1488930506,(direct),399.4,20170307
6128896276202796996,1488947533,google,18.36,20170307
2507346080386513370,1488912172,(direct),126.98,20170307
4068767292282197614,1488957573,google,26.91,20170307
6768770758966882890,1488939588,(direct),68.72,20170307
8517640021399044163,1488921520,(direct),561.45,20170307
229738108093221604,1488915926,(direct),32.78,20170307
6189798713014161370,1488943785,(direct),527.95,20170307
3939966046509655464,1488932557,(direct),1029.21,20170307
2048511066419559359,1488917517,(direct),319.61,20170307
5546793669751235607,1501204999,(direct),30.79,20170727
6014980722805375499,1501205850,(direct),44.0,20170727
4570976451995896965,1501175168,(direct),27.18,20170727
5960127137243713650,1501138265,(direct),104.1,20170727
9519825248461982188,1501199434,(direct),15.99,20170727
3563510904717248245,1501197828,google,9.49,20170727
9677097503012171995,1501186286,google,149.9,20170727
8005996482635469170,1501186044,(direct),13.2,20170727
8122366843389255502,1501215335,google,49.9,20170727
4327496999674034617,1501172728,google,52.38,20170727
0779199793341944056,1501210708,(direct),8.88,20170727
2158257269735455737,1501196318,google,20.49,20170727
3680244960768233462,1501194302,(direct),12.79,20170727
5215840735346366486,1501164589,google,207.7,20170727
449424538549488734,1501167382,(direct),73.57,20170727
4381707062146143113,1501191364,(direct),22.4,20170727
3308953517897542519,1501186791,(direct),13.2,20170727
9219609257103359166,1501189590,(direct),189.68,20170727
8624185886173345427,1501167929,(direct),13.19,20170727
9001502916626110125,1501163624,google,28.19,20170727
2966611128426241872,1501182187,(direct),46.55,20170727
1174647913878447921,1501189031,(direct),241.87,20170727
1288317908843556558,1501187528,google,17.37,20170727
6152978475187911748,1501201893,(direct),19.99,20170727
6312194749319574796,1501160088,google,17.95,20170727
1447257816279888170,1501162897,(direct),114.7,20170727
3830485242574967009,1501191783,google,23.99,20170727
9602459823241782836,1501180300,(direct),24.0,20170727
2797925470043622325,1501203918,(direct),22.71,20170727
6246146960091353412,1501189933,google,90.36,20170727
4284747478619287722,1501214230,google,68.71,20170727
5135901390896357467,1501188790,(direct),102.37,20170727
3004593292265626624,1501170467,(direct),89.7,20170727
9166972626679050152,1501189780,(direct),112.65,20170727
4984366501121503466,1501196835,(direct),1012.19,20170727
6987303552830349046,1501179528,google,398.89,20170727
391734717153151205,1501179173,google,52.97,20170727
7633475394444208361,1501156331,google,98.78,20170727
9278147896530416985,1501160958,google,91.69,20170727
1468478016521432136,1501157488,(direct),13.59,20170727
8836497360273825933,1501173416,(direct),20.08,20170727
3346631104336405882,1501167890,google,24.99,20170727
4545152794461452964,1501184330,(direct),223.84,20170727
9954291757269899812,1501198550,(direct),10.63,20170727
7105031024714443566,1501209906,(direct),76.68,20170727
6644273643966013405,1501171464,(direct),106.61,20170727
6390628371128313999,1501166268,google,94.54,20170727
7404717158530100525,1501202185,(direct),39.97,20170727
6373394558572820546,1501212319,google,2.99,20170727
5902646703490529789,1476655191,google,55.99,20161016
8181960330163795224,1476657371,google,18.99,20161016
6098599379440790733,1476683314,google,16.99,20161016
8046522402447421999,1476650614,(direct),14.98,20161016
405802957777196055,1476636806,google,48.96,20161016
6902621334559442557,1476630203,(direct),19.17,20161016
5905336612296989263,1476635962,sites.google.com,30.39,20161016
1799384320519544940,1476679622,(direct),65.57,20161016
8515771461294006341,1476662017,google,16.99,20161016
5250995229512019408,1476649495,(direct),16.35,20161016
2058369199877139726,1476681864,(direct),90.37,20161016
2876746492094191998,1476667918,(direct),39.17,20161016
9493534941623975611,1476639411,(direct),35.18,20161016
0598195240627817837,1476613745,google,84.95,20161016
9314931620201618507,1476637818,google,26.36,20161016
0060552898118020687,1476642250,(direct),135.13,20161016
772031545895684188,1476612086,(direct),77.19,20161016
4157301099254368232,1476646740,google,55.99,20161016
1394447537856759149,1476656977,(direct),120.73,20161016
4835082938415020542,1476632207,(direct),766.34,20161016
8461560860601581176,1483225316,(direct),35.18,20161231
1323672990415209613,1483200850,(direct),7.99,20161231
8224029032220919338,1483206725,(direct),39.98,20161231
1875834855839567395,1483224091,(direct),95.03,20161231
7400153334064056683,1483215266,(direct),61.98,20161231
3391371207605838551,1483240868,(direct),17.59,20161231
594032029140324639,1483198871,(direct),29.57,20161231
7616789203807782311,1483251091,(direct),85.98,20161231
2814253579769492109,1483208352,(direct),55.99,20161231
6976057682793576646,1483241037,(direct),271.88,20161231
3836209289653625827,1496607992,(direct),11.19,20170604
656429934624637021,1496603902,(direct),19.99,20170604
7811787934602942622,1496635614,(direct),3.5,20170604
6407020613319085956,1496636340,google,20.78,20170604
0992883166330459343,1496616959,google,16.99,20170604
467904620717928287,1496632517,(direct),13.59,20170604
116147939572219012,1496629856,google,79.8,20170604
7368502516910628581,1496600931,google,18.99,20170604
8496641076182253278,1496596215,google,26.58,20170604
2793662397630011318,1496589457,(direct),12.98,20170604
7351811396250801209,1496624904,(direct),78.29,20170604
707924884126013523,1496634869,(direct),51.17,20170604
6249334762900875907,1496627768,(direct),104.18,20170604
9320164337521602239,1496612546,(direct),97.57,20170604
9705228674184876468,1496624264,(direct),638.0,20170604
7196904589011879906,1495562531,(direct),45.0,20170523
349780264810210042,1495557153,(direct),44.79,20170523
3399131852074077546,1495559303,google,21.99,20170523
7862709801346463450,1495562743,(direct),299.5,20170523
0744194450160663160,1495581116,google,100.0,20170523
1327488227980815621,1495566511,(direct),68.74,20170523
081556422471965129,1495602541,(direct),38.16,20170523
6948465282529619891,1495549237,google,28.3,20170523
6820200829240883942,1495571683,google,41.59,20170523
5989963282036287495,1495575018,google,479.6,20170523
0824134401948110048,1495547915,google,19.27,20170523
3490941383536951175,1495530262,(direct),21.1,20170523
3028833598226517640,1495563773,(direct),201.45,20170523
1364943586489032731,1495553436,(direct),215.43,20170523
7477634267430924328,1495541992,google,72.27,20170523
5879037707038281515,1495559720,(direct),189.48,20170523
0097371986665596420,1495568305,(direct),428.08,20170523
4573492063530196162,1495597539,(direct),183.48,20170523
5509634145014116132,1495562255,(direct),21.26,20170523
5013441016621351326,1495571689,(direct),143.83,20170523
6085954146475273490,1495569689,(direct),30.38,20170523
2870963788113068865,1495575527,google,271.72,20170523
96749416396933823,1495589680,(direct),30.62,20170523
9160688801124625042,1495575356,(direct),325.91,20170523
2610708601231231422,1495573628,(direct),144.9,20170523
4793388674495960680,1495573407,google,23.1,20170523
3180997796111831124,1495565355,(direct),17.94,20170523
5501735992704421396,1495544101,(direct),147.94,20170523
8323502191714564898,1495569972,google,30.96,20170523
9002364108822836989,1495565336,google,70.33,20170523
652992594863430909,1495551766,(direct),71.13,20170523
5054967838682156421,1495568841,(direct),653.96,20170523
1958518504412290611,1500675094,(direct),25.98,20170721
7282058185499112847,1500667668,(direct),27.99,20170721
3551040750443861038,1500681680,(direct),32.49,20170721
7171943038143298955,1500651440,google,41.47,20170721
7730778110265788269,1500622895,(direct),63.26,20170721
1476938238176225678,1500682499,(direct),215.33,20170721
1081954083914922307,1500648844,google,175.72,20170721
3813195472927677467,1500659920,(direct),19.97,20170721
6486795623038216247,1500666855,(direct),35.18,20170721
5322397769480961983,1500677017,google,145.99,20170721
330062846836232829,1500664564,google,31.27,20170721
0535797652559788641,1500695352,google,76.26,20170721
4045831322438555082,1500650071,google,30.48,20170721
0953889584295924240,1500643442,(direct),18.72,20170721
3117505679893009709,1500681737,(direct),161.96,20170721
0080479763428955064,1500646191,google,141.96,20170721
7797161228996458724,1500680825,google,18.27,20170721
9305224849656676534,1500657152,(direct),193.95,20170721
160370198171303042,1500679118,google,45.43,20170721
7880178108492772399,1500668164,dfa,96.55,20170721
9905174730865679854,1500675274,google,51.43,20170721
5365708442015077167,1500693706,google,47.49,20170721
9905174730865679854,1500670246,google,90.48,20170721
1712066703099487652,1500698268,(direct),64.78,20170721
746996333765865062,1500674722,(direct),15.99,20170721
4640309372934566564,1500662800,(direct),48.78,20170721
9417857471295131045,1500657634,(direct),1064.08,20170721
8230689683989624083,1500681611,(direct),31.2,20170721
2863616485775419102,1500661627,google,27.91,20170721
0640040708763897460,1500672436,google,29.76,20170721
1875268638592946287,1500656693,google,16.99,20170721
7954367393399826900,1500656497,(direct),14.31,20170721
83055806370747628,1500652929,(direct),22.93,20170721
4299030824455740972,1500649778,(direct),4.56,20170721
0975931442450346746,1500660560,google,239.88,20170721
0500460722094613747,1500673665,(direct),48.0,20170721
2590088265600782267,1500636089,(direct),27.99,20170721
5066382323992610838,1500666564,(direct),41.99,20170721
6274615038428740035,1500657438,google,16.99,20170721
6646523251391378796,1500649336,(direct),45.09,20170721
8930278305459563871,1500660701,(direct),55.02,20170721
8386027227055813361,1482035643,(direct),44.79,20161217
